"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",1.00362404962344,-0.0110095527612192,-0.0118397837052164,-0.00942119451142936,-0.0114005317920478,-0.0101229924359617,-0.0107352603947348,-0.00343532156598238,-0.00735492811705292,-0.0106511270719311,-0.018651750905308,-0.00884934712559789,-0.00246685998859119,-0.0167738226010336,-0.00334116572078284,-0.0109314386747818,-0.015146177054749,-0.0107511649895847,-0.0151828929374713,-0.00640448122107809,-0.00655440146657604,-0.00936735756518491,-0.000645297238358113,-0.0131420898026726,-0.00270735683520038,-0.0175358086040755,-0.00837257848387808,-0.00887179808724422,-0.00926269857244644,-0.0139237642421896,-0.015665575843316,-0.0133981376201023,-0.0063134851415211,-0.00618620794979109,-0.00972999196084364,-0.0134130797610159,-0.015965580939919,-0.0228782004557138,-0.0117342862467553,-0.00840706320994591,-0.0188020362058814,-0.0114693088882455,-0.0168373804270636,-0.011976343018866,-0.00960966856964999,0.00536729401993825,-0.00844262797146767,-0.00700980494865162,-0.00891325443935428,-0.0146803765702983,-0.000755181799125828,-0.00898580830746592,-0.000607420127583632,-0.0072630216174828,-0.0137891444256639,-0.0226488601495264,-0.00919419275853849,-0.011294441970056,-0.00866525818343317,-0.0106358268094645,-0.00459849509664108,-0.00747833924058343,-0.0145069179768649,-0.0155380413253506,-0.0150514791249001,-0.00554898264957853,-0.01507624906194,-0.0214508598488958,-0.00442441335990108,0.000697931721180432,-0.0102930486301356,-0.0138614125851765,-0.00343090369097635,-0.0104129003154003,-0.0191856318801242,-0.0110388901878622,-0.00619416017816732,-0.0157665690928758,-0.000500402367763714,-0.0157866960250277,-0.0120121708226406,-0.0169590085940875,-0.00603473583449048,-0.00861475109399397,-0.0101417708063707,-0.00785306092423763,-0.0138616169214644,-0.00753054543721754,-0.00532203091120748,-0.00858275477691571,-0.00298288210824245,-0.0129700654321306,-0.00640689907416579,-0.0103969572269019,-0.0168712352720637,0.000377801647164009,-0.00320910188769252,-0.0131750552107523,-0.00209723115071934,-0.00533146109583336,0.00295943704826009,-0.0130967413366817,-0.00930753471580303
"",-0.0110095527612192,0.985858535329723,-0.00169163492657794,4.22532956744176e-05,-0.0161961114218756,-0.00781464942693186,-0.00718783420096217,-0.0144897335944369,-0.00973760338788945,-0.00524181327155815,-0.00993452794864725,-0.0105927594461983,-0.0272482804244125,-0.0134915668048429,-0.0158228148927654,-0.00971429388125707,-0.0153363347489994,-0.0111153071631779,-0.0102346082784884,-0.0218303199284475,-0.0157873391776163,-0.0103148996430608,-0.00429541968933414,-0.0183002684956022,-0.00586236162806133,-0.00478471858851437,-0.000499584438312941,-0.0193426935469312,0.000846638485621043,-0.0127708463589292,-0.00772266866789435,-0.0135387377207538,-0.00611850282262331,-0.00806322962748779,-0.00271532128959859,-0.00933170824136909,-0.0144046561435789,-0.000516496348946034,-0.0126340269422546,0.000790560407261401,-0.00495790005220522,-0.0113161004593251,-0.00749625272101356,-0.00936786713856455,-0.00517953963486705,-0.0088519652669323,-0.0107502918613345,-0.00971934049810673,-0.00858536504281559,-0.00464671673280279,-0.0137361073084267,-0.0131917029798436,-0.00800892805228429,-0.0205987724873958,-0.0173926129842507,-0.00972286949155713,-0.00803020868920315,-0.0119842381354346,-0.0107787486957917,-0.00423675500813614,-0.0121025658079714,-0.009199475490752,-0.0140969363136261,-0.0154633286258764,-0.00184075841288835,-0.00569917932741235,-0.00930555303985321,-0.0127729024523584,-0.0123637247098292,0.00083249975664323,-0.0212303636449297,-0.00874536106395594,-0.0136251608218746,-0.0178712089942119,-0.0104727722736342,-0.0159622436861588,0.00386477654318872,-0.00803987749797723,-0.00851232604095007,-0.00460191741395442,-0.0121488524946633,-0.00723194863171623,-0.00415134149748277,-0.0130540584076713,-0.00979747949277471,0.00606942560853937,0.00490090021265046,-0.004098934248248,-0.0145645535145174,-0.00974193221641988,-0.0127705609121265,-0.0135210936439666,-0.0230595699702635,-0.0119746750319205,-0.00929882758639774,0.00168253773272052,-0.0205326434638788,-0.00396525259264085,-0.0075484264513594,0.00405456626523732,-0.00962145073206784,-0.00873642373631032,-0.026973504275707
"",-0.0118397837052164,-0.00169163492657794,1.01758215182354,-0.00223760386102125,-0.0121668853013241,-0.0140883433955721,-0.00402364411686078,-0.00166916459345392,-0.00598105913483251,-0.0037065612372828,-0.00630843812749375,-0.00322743269475391,-0.0218215625184417,-0.0149695692283626,-0.00200691685239302,-0.0114080089992864,-0.00398317298437317,-0.00691752283129888,-0.0182210475474736,-0.00303251504924554,-0.0111493904139826,-0.00305150165716433,-0.00351508738652489,-0.00607581654399876,-0.0101627105349196,-0.00550346550233391,-0.00988207707530887,-0.0108174473538746,-0.00292604077078157,-0.0144987937354552,-0.0125448613343891,-0.0123349875245676,-0.00912058284306069,-0.00975873646804843,-0.0156527725137639,-0.00750299063337527,-0.00666414807395474,-0.0157061995861179,-0.0113166107035654,-0.0100897884254529,-0.0190181596051155,-0.00754192592641851,-0.00757483735812484,-0.00616439771198905,-0.00606522771364039,-0.0184524272488289,-0.0176401235475149,-0.00474000052905302,-0.0246313601260688,-0.00987458053173028,-0.0111326908844906,-0.00827129224209595,-0.00166999530429916,-0.0196758487416517,-0.00615723342165224,-0.0156393219467324,0.00326234674858878,0.00142935092007846,-0.007933379161456,-0.00920256393760913,0.00145883033098611,-0.00352873962640519,-0.0119005312196242,-0.00390688686532012,-0.00329165191444274,-0.010582015718085,-0.0197050160742365,-0.0147884409160977,-0.0166512864793768,-0.0187365709470233,-0.0029016606438099,-0.0185201866514308,-0.00270819916445273,-0.0011630796300612,-0.00815432069494667,-0.00372688380559463,-0.020445039889263,-0.018474661245804,-0.0189702553165802,-0.0119534536624136,-0.0102145204853935,-0.00126436895824108,-0.0174597578123167,-0.00501025465017303,-0.0101369495082311,-0.0173976365740565,-0.0137582099767588,-0.0194196292460006,-0.016275406626557,-0.00576949761215232,-0.00489846925871452,-0.0169885987233824,-0.0122740071019642,-0.0167011135986025,-0.0167356002826166,0.000247073527254337,-0.0105941699568821,-0.0144327236409521,-0.0092831873638392,-0.0121397583108204,-0.011997916180915,-0.00721659026882667,-0.0249422646244264
"",-0.00942119451142936,4.22532956744176e-05,-0.00223760386102125,0.999935977797511,-0.0181432089635677,-0.00588240842748776,-0.007222728202015,-0.00974513269817547,-0.00905769775313222,-0.0141844250461128,-0.00640991278808949,-0.0216294720522787,-0.00394765099986801,-0.0109288468731192,-0.015782402052206,-0.0154149451569241,-0.00620931330241536,-0.0102754920151995,-0.00888178557260563,-0.00729956674903411,-0.0139352141348659,-0.0146464329676411,-0.00606131527773018,-0.0113223563150871,-0.0213860553984345,-0.0141987809902328,-0.0190675574543501,-0.00228032858119608,-0.0136360696177788,-0.0059576355210964,-0.0100451394891699,-0.00712162476697742,-0.00957667784011178,-0.0101895908484878,-0.00573093264537651,-0.00425568691254154,-0.00930524001878421,-0.0174342450993733,-0.0135520444161867,-0.00629629281171535,-0.00382201331601519,-5.16517035002369e-06,-0.00400343051935149,-0.0083721987112538,-0.0173441446358086,-0.009762979243556,-0.00607606093044164,-0.00520698393322843,0.00613075516155906,-0.00829444477417395,-0.0008103650307414,-0.00403628629686425,-0.00909469942504909,-0.0114887614070476,-0.00200640027848649,-0.0206390307590622,-0.0115974280669787,-0.0171552818244112,-0.0136264249295081,-0.0135714789785197,-0.0140266439635512,-0.0144107352934031,-0.00618020729435611,-0.00444147042060354,-0.00576279552500754,-0.0175863083727431,-0.0114898547139465,-0.010261528313039,-0.0196928057932284,-0.011904885725745,-0.0135461337575948,-0.00713981822919768,-0.00453050168261329,-0.0164106336557002,-0.00400339738836793,-0.0141580379327575,-0.0192560799764761,-0.00833571661745316,-0.0112549878805738,-0.00244006744343247,-0.0190631690983811,-0.00861432276070571,-0.0183114970706439,-0.0132872041194205,-0.0200425822470899,-0.00777039035451902,-0.0113792381651506,-0.0140103549827123,-0.00384384226835342,-0.0117640268352881,-0.00828282187105158,-0.00978017851495476,-0.00491111867849993,-0.0079166456193451,-0.00921967212706684,-0.0185531523282307,6.4907324810979e-05,-0.0138692358436688,-0.011562419236136,-0.00552091892635468,-0.00752683144303703,0.00581398844907523,-0.00433906319665909
"",-0.0114005317920478,-0.0161961114218756,-0.0121668853013241,-0.0181432089635677,0.994856584283826,-0.0203181608736491,-0.0116195059729012,-0.0153366981097317,-0.0148724804433682,-0.00488478188533695,0.00223637032982012,-0.0033599389658247,-0.0143063315801273,-0.0110388268030295,-0.00318447226356241,-0.00192281216362968,-0.00980904609570351,-0.0139052462187787,-0.0108379260590067,-0.00385074956475937,-0.0119959012113873,-0.0136141956810369,-0.0103800606790742,-0.0166362676904852,-0.00937723810055154,-0.0111691678819201,-0.00683843693974251,-0.0156038207903649,0.00403829883257182,-0.0130306380970463,-0.0133781260434861,-0.00417392355064962,-0.00234810350687196,-0.0123764013137817,-0.0224469814535409,-0.0114373331374784,-0.00629832119359334,-0.000423051512042882,-0.0172698282905183,-0.0139827861016176,-0.003868705973387,-0.00624605255701653,-0.00903678581005508,0.00193225569674455,-0.00217132304580481,-0.0102747623810978,-0.00727532186696535,-0.0161904821578378,-0.0112855148649226,-0.00376830220549746,-0.025888879480509,-0.0185326348393071,-0.00924960208286862,-0.0129139693105599,-0.00226920485887663,-0.0071150493565365,-0.000118206220326923,-0.0175201411743481,-0.0066336638646688,-0.0057082436585853,-0.00421294956275822,-0.00661331359599481,-0.0170086418400987,-0.00566074197708454,-0.0126564697650639,-0.0165262538689401,-0.0092034757584199,-0.000700630257024403,-0.0175583910326853,-0.00747646325732368,-0.0224291180331204,-0.00826846239982384,-0.00684000794944882,-0.00845653987612163,-0.0135281176245156,-0.0112041451605192,-0.00738979488923192,-0.0111993080597489,-0.0170226544231891,-0.010630167467481,-0.016107040414793,-0.00780481357495951,-0.00319222738004252,-0.0147662952801645,-0.000888201823627852,0.000105829588455979,-0.0163041993833379,-0.0172144978157123,-0.00695233532799054,-0.0139981817979257,-0.00862637494455207,-0.00436186704188694,-0.0136437349660034,-0.0140807435821249,-0.00556855474862761,-0.00720054622249729,-0.0101222289097918,-0.0123775831068819,-0.0108361032844068,-0.000648602059933341,-0.00369374029876417,0.000587486467402259,-0.0147821630747334
"",-0.0101229924359617,-0.00781464942693186,-0.0140883433955721,-0.00588240842748776,-0.0203181608736491,0.987599032813045,-0.0075080866228043,-0.0142073405493185,0.000308421120097167,-0.00540876855416694,-0.0195274266441952,-0.000903809846957834,-0.007919326042628,-0.00446489279653995,-0.00947002987658493,0.00380160606953421,-0.00219699595214146,-0.018318734009499,-0.0252822872973854,-0.0143567972668131,-0.00618370024532411,-0.0177360573247768,-0.00938415700061382,-0.00351918292073011,-0.00586515107131066,-0.0057219812948282,-0.00515738138869623,-0.0144358797793223,-0.0135910358004551,-0.0127628894863909,-0.0121385683851617,-0.0079269869990941,-0.024200560881248,-0.00173350967262369,-0.00787822325817595,-0.0137254244369125,-0.00352357844120849,-0.0104437152132337,-0.00712911495781081,-0.0046814688478052,0.000431740992848793,-0.0167348007235748,-0.0123333995733297,-0.0143291723337448,-0.00414227910026822,-0.00386023329567244,-0.00827132676830179,-0.0170775412501009,-0.0193961486481061,-0.00824881494952772,0.0037951198674613,-0.011261713187661,-0.00848239178166423,-0.0074687265952596,-0.0165162319286144,0.0012660543450995,-0.00735770753729152,-0.028442756839403,-0.0143653788763637,-0.00634626923103053,-0.00572159374147729,-0.0105586356254792,-0.0104568825360173,-0.00839981844162292,-0.00327153435525447,-0.013083676031972,-0.0156189208561997,-0.0133176140604303,-0.0111832076280523,-0.00824298621897248,-0.00343928118979986,0.000200152225973648,-0.00732475353555092,-0.0112804483614998,-0.0124973690443451,-0.0050070684235481,-0.00216107315082528,-0.0112030631220624,-0.00561897562588541,-0.0150358717333377,-0.00923351265010089,-0.0128047834430766,-0.0138128302173183,-0.0147929906965345,-0.00433581713348679,-0.0186364711535115,-0.00872163544901644,-0.0138306817382385,-0.0182245186372094,-0.0205009100997165,-0.00929818553032955,-0.0181809875082644,-0.00571499775254954,-0.0138720563595731,0.00208712428381216,-0.00126641837284435,-0.0129061233821647,-0.000486087823774057,-0.00270534749255678,-0.0106596026475997,-0.00734890706077271,-0.0169604861151459,-0.0116086167284508
"",-0.0107352603947348,-0.00718783420096217,-0.00402364411686078,-0.007222728202015,-0.0116195059729012,-0.0075080866228043,1.01010112138441,-0.0154290351339929,-0.00750575476553869,-0.0103484048854725,-0.0144043581979787,-0.00382515303741337,-0.00918728466538441,-0.0138857208677167,-0.00680973973100185,-0.00292694414955941,-0.0184808611016977,-0.00663698733455762,-0.0221930952240715,-0.00604090070137194,-0.00814665718166602,0.0021491112965757,-0.00483234853427103,-0.0179197849674664,-0.0106053231969527,-0.00349128742032187,-0.0154659193684648,-0.0185254619762278,-0.00999868957631402,-0.0118753668913184,-0.000982622913181178,-0.00438446171752517,-0.0167524825932056,-0.0163846810295125,-0.00430261710861475,-0.00487424802619326,-0.0113745363709808,-0.0115248082873924,-0.00606820845031978,-0.0175226885922698,-0.00842473930179508,-0.00518574982974155,3.031655254151e-06,-0.0143579151705437,-0.0103628675761759,-0.0132170805312922,-0.0167446878052756,-0.0135878386850461,-0.0158487265296558,-0.0192559607577972,-0.0147135098716745,0.00229781268614222,0.00259113864548635,-6.22799990388667e-05,0.000537556719196492,0.0011597363456867,-0.0109460651128533,-0.00958121458539392,-0.0244737051202671,-0.00185702292176924,-0.0161079375226463,-0.0207666629913492,-0.0106820359685998,-0.0187382363115229,-0.0119931736746386,-0.01042369060966,-0.00304977884009012,-0.00236756543852781,-0.0169357684831074,-0.00930099929903171,-0.0159794094601808,-0.0144053733730123,-0.00825236846531662,-0.00470247502473131,-0.0195037636062708,-0.0154914307631782,-0.00457608662733486,-0.0129612876758027,-0.00707528457847837,-0.011642850235568,-0.0127400558020378,-0.0037636615845994,-0.00970405777344184,-0.0143030473187625,-0.00743817594975123,-0.00452357727173652,-0.013487496433931,-0.00682587179466529,0.00149490151439614,-0.00647000647858787,-0.00756611421156508,-0.0060017968078767,-0.0162142886021115,-0.00545747330153644,-0.0123852911366432,-0.0103624764798709,-0.00944873248483433,-0.0082297112728076,-0.0110198726824592,-0.016457679460964,-0.00438918341487903,-0.0142351118207234,-0.024731691908396
"",-0.00343532156598238,-0.0144897335944369,-0.00166916459345392,-0.00974513269817547,-0.0153366981097317,-0.0142073405493185,-0.0154290351339929,0.995384243671408,-0.0103577420042042,-0.0158060270241427,-0.0119391734729119,-0.00458785543236152,-0.00935404779988451,-0.00248136911181075,-0.00332189976528579,-0.0124281657820761,-0.0113027145345113,-0.0119162163376905,-0.00164283123780966,-0.0151643933992773,-0.00784772132158531,-0.00826438918052306,-0.00236647694884429,0.0010038695350051,-0.00369571359631502,-0.0134164624599444,-0.0228254176523855,-0.00561325707779915,-0.00570389572931317,-0.0143133888681991,-0.0140308747127214,-0.0152349862461795,-0.00493784169501762,-0.000948337242726574,-0.00466506102989075,-0.015015417299608,-0.021446525908224,-0.0116314066733983,-0.00472658872450346,-0.00976649096761395,-0.0129350989978404,-0.00701046047907128,-0.012407767390626,0.00252697464648839,-0.007540937397959,-0.0163132293992424,-0.0106708637734103,-0.0042202405149472,-0.00631222127597365,-0.00913241922778786,-0.012200171112683,-0.0163710884497021,-0.0122444696039252,-0.0150814585592484,-0.00615708895305777,-0.0141905199870013,-0.0174503756945444,-0.0121615938722146,-0.00865010969252103,-0.00147487181697325,-0.00329589760977614,-0.00776202933468334,-0.00950663183782783,-0.027195173726271,-0.0155515231369341,-0.00241631265523333,0.00307660801081215,-0.0154805391901093,-0.00859736998327763,-0.014956235978729,-0.00517996689722479,-0.00987657655926943,-0.00651496111933843,-0.00634443621020324,-0.0111388185443779,-0.00510940206635909,-0.0108039148851305,-0.0143762098121807,-0.011317723608219,-0.00488511753872426,-0.0129961700005165,-0.0139028056990314,-0.00747496441111278,0.00222717708845099,-0.00659696918878817,-0.0100989746288152,-0.00908912112512382,-0.021087674407656,-0.0166563676266812,-0.0162288194253832,-0.00724650410738693,-0.00831565586401922,-0.0111356546268773,-0.0115538187121238,-0.00369607657796963,-0.013611088844586,-0.0113871706380448,-0.00536964332851803,-0.00480228210487248,-0.0184500835828883,-0.00326226743480767,-0.0141661910699513,-0.0131916271731822
"",-0.00735492811705292,-0.00973760338788945,-0.00598105913483251,-0.00905769775313222,-0.0148724804433682,0.000308421120097167,-0.00750575476553869,-0.0103577420042042,1.00476428857774,-0.0108493525914679,-0.0143742470695968,-0.00661037691917197,-0.0103984461859776,-0.0026952929742864,-0.0202449159898659,-0.0113916894805611,-0.0138099705347004,-0.0138346940690242,0.00342568367448183,-0.0183253213030642,-0.00240997779877557,-0.011564190290605,-0.0114526994389201,-0.0145818555792403,-0.00795359289433409,-0.0182553511302319,0.0015467621274168,-0.00450795733063092,-0.00870156836764821,-0.00602837197128437,-0.0162139133264333,-0.00816939859412669,-0.0106244060828634,-0.00484770858555734,-0.0103051786387509,-0.0112338734929706,-0.0114282814472923,-0.0122593196061285,-0.00817092153907482,-0.0101252688773713,-0.0123637546045751,-0.0182196274868867,-0.0105591578270136,-0.0178176712894982,-0.00798312846307439,-0.0179373577126477,-0.0111085764676061,-0.00456189821773766,-0.0146803644415133,-0.00365305752945047,-0.00386370731960897,-0.0022277128299232,-0.0124625228242848,-0.00726202657101499,-0.014025403217438,-0.014686875692027,-0.00728893414400449,-0.00686045676722517,-0.00898281306548731,-0.0111810627152514,-0.00837722345774299,-0.0243437610403277,-0.00547377646800295,-0.00191258517774654,-0.009632453854937,-0.0104990792407499,-0.0118274641833429,-0.0115618375034522,-0.00872722016922311,-0.0180468235264034,-0.00636168760502372,-0.00964694638508116,-0.0127634901249393,-0.00874858182665505,-0.0159350856259375,-0.0155636287882584,-0.0146563149098398,-0.0103684955434421,-0.00427765184305857,-0.0109092667031577,-0.0134805883723438,-0.0067229761757208,-0.0138271895773564,-0.0157921557733104,-0.00724905918250123,-0.0181239364534667,0.00156631693850671,-0.0116197712435783,-0.00429646917475713,-0.00864502336600582,-0.00743593540960646,-0.00197294460955873,-0.00798881739714316,-0.00340143661411279,-0.0216740949567184,-0.0089330966479406,-0.0091854186759914,-0.00972863991869334,-0.00971733420172694,-0.00413058564254252,-0.0149799291372004,-0.00294484367798757,-0.00616633535107548
"",-0.0106511270719311,-0.00524181327155815,-0.0037065612372828,-0.0141844250461128,-0.00488478188533695,-0.00540876855416694,-0.0103484048854725,-0.0158060270241427,-0.0108493525914679,1.00139156743801,-0.0117537373172975,0.00331701661053999,-0.0116312861300423,-0.00597550603252949,-0.00494314461162801,-0.00440556740751898,-0.014282783667774,-0.0179453966564832,-0.0163756028735032,-0.0124145096406065,-0.00795811015839469,-0.00777234980032489,-0.00505892499320237,-0.00894293781956765,-0.023848984213382,0.00947158907726821,-0.0116252540575709,-0.00985258443937173,-0.00791769286278045,-0.0108807334479365,-0.00675050361296183,-0.00449386453420742,-0.0146020033251194,-0.00748411329049987,-0.00168333038521233,-0.00997657413414418,-0.0105014321604221,-0.0104110055772948,-0.0134474191216396,-0.0113509437155629,-0.00958397157979918,-0.00676267424541712,-0.0111824931587324,-0.0150492045132611,-0.0160963042844601,-0.0162651262441073,-0.0117068620390362,-0.0155519630160684,-0.0216588685904067,-0.0153952501724781,-0.0106136757714903,-0.0145549648822751,-0.0164055560265043,-0.00999765923700246,-0.015677473761045,-0.00629710978307884,-0.0145616649414519,-0.00314445171493989,-0.000239611871393054,-0.0149242413102856,-0.010229348958641,-0.00645880259190379,-0.0214379821768554,-0.00439552992062849,-0.010653564286747,-0.00634943732491359,-0.0133322575233355,-0.000491679058156341,-0.0116537263239298,-0.00848044674364632,-0.0141300906789917,-0.00554287513909066,-0.00607888265058211,-0.00329593817634348,-0.00705864383208401,-0.0166111148728233,-0.00952807390493157,-0.00930568685814468,0.00707628391666729,-0.00342875509156819,-0.0103843539698101,-0.00776869378844469,-0.0148904790653513,-0.0117628456094987,-0.011874851556973,-0.0158970611459848,0.000533156961704926,-0.00593649229192685,-0.0135382520081342,-0.0116792976152443,-0.0173219556179434,-0.0150753657125609,0.000332832142231091,-0.0144641756617591,-0.0128396695152962,-0.00825980509925216,-0.021459967493483,-0.00229430595909213,-0.00644899156679672,-0.0102652380792742,-0.00974750900628737,-0.00594157766508037,-0.0147720369080313
